Timestamp,MMS de 20 dias,BB Superior,BB Inferior,IFR,MME_1,MME_2,Sinal_Compra,Sinal_Venda
1558142400,,,,,7323.26,7323.26,,
1558142460,,,,,7324.836666666667,7324.311111111111,7327.99,
1558142520,,,,,7323.001111111112,7323.204197530864,,7319.33
1558142580,,,,,7320.057407407408,7321.196598079561,,
1558142640,,,,,7322.331604938273,7322.459576284104,,
1558142700,,,,,7319.2177366255155,7320.355225998747,,
1558142760,,,,,7318.465157750345,7319.600731332359,,
1558142820,,,,,7314.763438500229,7316.8805688140565,,
1558142880,,,,,7304.7589590001535,7309.740442410933,,
1558142940,,,,,7300.702639333436,7305.929232986281,,
1558143000,,,,,7296.038426222291,7301.658292322663,,
1558143060,,,,,7290.768950814861,7296.896449584294,,
1558143120,,,,,7289.929300543241,7294.97501634334,,
1558143180,,,,,7289.949533695495,7293.8672349337085,,
1558143240,,,,40.40237467018448,7293.293022463664,7295.225627170662,,
1558143300,,,,38.46415801123828,7295.82534830911,7296.484376688293,,
1558143360,,,,37.38518824989688,7293.496898872741,7294.785626313117,,
1558143420,,,,41.1435726210351,7293.314599248495,7294.377709354646,,
1558143480,,,,31.420718089675518,7290.083066165664,7291.987107275836,,
1558143540,7300.666499999999,7333.9294398801985,7267.4035601198,33.08610709117258,7285.252044110443,7288.343305658984,,
1558143600,7297.8025,7332.698276173299,7262.906723826701,28.06368330464727,7278.828029406963,7283.37368217921,,
1558143660,7294.241499999999,7330.668539277524,7257.814460722474,28.158190139021215,7271.475352937976,7277.461752806052,,
1558143720,7291.6415,7327.951596189121,7255.331403810878,41.605628373168834,7270.093568625318,7275.2102521824845,,
1558143780,7289.475999999998,7325.291489974384,7253.660510025612,39.074912016088234,7270.349045750212,7274.243529475265,,
1558143840,7286.409499999997,7319.107110068786,7253.711889931208,39.300161812297716,7268.7493638334745,7272.311634036318,,
1558143900,7283.2599999999975,7317.2851510689225,7249.2348489310725,35.99814729041229,7262.499575888984,7267.353493139359,,
1558143960,7279.964999999998,7312.998113529814,7246.931886470183,31.587285869888092,7258.6863839259895,7263.7327168861675,,
1558144020,7277.3099999999995,7309.599534886056,7245.020465113943,32.5622254758419,7257.210922617327,7261.627668689242,,
1558144080,7276.350499999999,7308.848962781458,7243.852037218539,33.413646877409704,7259.993948411552,7262.501520091632,,
